id,year,exhibit_id,category,hierarchy_path,label,amount,file_name,storage_url,pdf_page,bounding_box,created_at,hierarchy_level,parent_entity
1e7e3386-3b48-4309-a467-723097228901,2025,A,Liabilities,Primary Government > Business-type Activities,Total Liabilities (Subtotal),1773748,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,Business-type Activities
7112f3c8-f87a-4f62-872d-30959374f855,2025,A,Deferred Inflows of Resources,Primary Government > Governmental Activities,Deferred Current Property Taxes,4249622,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,Governmental Activities
77491c64-c888-493e-ad5b-d788e42a9b7b,2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),2711883,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,Governmental Activities
9ee61a84-4d4f-40d8-8c13-98724cbeef2f,2025,A,Deferred Inflows of Resources,Component Units > Metropolitan School Department,OPEB Changes in Assumptions,161895,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,School Department
d37977be-a0d4-4753-b112-ff32e3903cbf,2025,A,Net Assets,Primary Government > Governmental Activities,Unrestricted,-10358589,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,Governmental Activities
e1ec59b5-636f-417e-95dc-a3715f474d12,2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),-348578,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,Governmental Activities
e1a9b032-a41d-4585-8e2b-5cfff02d9283,2025,A,Deferred Outflows of Resources,Primary Government > Governmental Activities,Pension Changes in Investment Earnings,0,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,Governmental Activities
6ffc3392-6625-45c7-82bf-d49ff38911c9,2025,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),39342,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,School Department
45fe7ee8-fee4-4968-a94b-a16c5ce16468,2025,A,Net Assets,Primary Government > Business-type Activities,Net Investment in Capital Assets,11136699,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,Business-type Activities
6fb151e8-d53c-44df-94bd-f5189ae61c3a,2025,A,Net Assets,Primary Government > Governmental Activities,Net Investment in Capital Assets,10302132,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,Governmental Activities
bf43c0c9-7a0e-41a1-9cb5-e2e9fa110237,2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),983949,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,Governmental Activities
fecae27b-29ff-4f66-9d0e-13cc8ba80aa5,2025,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),87090,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,Governmental Activities
99009589-9bd7-42fd-b00f-19689301b61e,2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),2506838,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,Governmental Activities
6705d1c8-6982-4f8e-bb13-a3f70fe8d70a,2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),-20013,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,Governmental Activities
1d2f95d0-7175-47b2-ad3f-681c53328bd5,2025,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),1939826,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,School Department
fefd5020-7655-4f1f-9813-8618dcefcd73,2025,A,Deferred Outflows of Resources,Component Units > Metropolitan School Department,OPEB Changes in Experience,317540,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,,,4,School Department
31bd5632-f8ce-4933-953e-046ab55468a0,2025,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),101,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,,,4,Governmental Activities
