year,exhibit_id,category,hierarchy_path,label,amount,file_name,storage_url,pdf_page,hierarchy_level,parent_entity
2025,A,Net Assets,Primary Government > Governmental Activities,Unrestricted,-10358589,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Governmental Activities
2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),-348578,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Governmental Activities
2025,A,Deferred Outflows of Resources,Primary Government > Governmental Activities,Pension Changes in Investment Earnings,0,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Governmental Activities
2025,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),39342,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,School Department
2025,A,Net Assets,Primary Government > Business-type Activities,Net Investment in Capital Assets,11136699,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Business-type Activities
2025,A,Net Assets,Primary Government > Governmental Activities,Net Investment in Capital Assets,10302132,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Governmental Activities
2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),983949,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Governmental Activities
2025,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),87090,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Governmental Activities
2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),2506838,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Governmental Activities
2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),-20013,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Governmental Activities
2025,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),1939826,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,School Department
2025,A,Deferred Outflows of Resources,Component Units > Metropolitan School Department,OPEB Changes in Experience,317540,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,School Department
2025,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),101,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Governmental Activities
2025,A,Liabilities,Component Units > Metropolitan School Department,Total Liabilities (Subtotal),460697,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,School Department
2025,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),166122,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,School Department
2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),0,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Governmental Activities
2025,A,Liabilities,Component Units > Metropolitan School Department,Total Liabilities (Subtotal),2334266,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,School Department
2025,A,Net Assets,Primary Government > Governmental Activities,Restricted for: Administration of Justice,142978,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Governmental Activities
2025,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),259875,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Business-type Activities
2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),9277628,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Governmental Activities
2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),393779,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Governmental Activities
2025,A,Net Assets,Primary Government > Governmental Activities,Restricted for: Pensions,139177,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Governmental Activities
2025,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),-44964,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,School Department
2025,A,Liabilities,Primary Government > Business-type Activities,Total Liabilities (Subtotal),0,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Business-type Activities
2025,A,Liabilities,Component Units > Metropolitan School Department,Total Liabilities (Subtotal),114782,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,School Department
2025,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),3926248,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,School Department
2025,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),1743120,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,School Department
2025,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),189690,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Governmental Activities
2025,A,Net Assets,Primary Government > Governmental Activities,Restricted for: Capital Projects,4852,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Governmental Activities
2025,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),-16569,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Business-type Activities
2025,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),199756,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Business-type Activities
2025,A,Deferred Inflows of Resources,Component Units > Metropolitan School Department,Pension Changes in Proportion,60061,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,School Department
