line_id,doc_id,doc_display_order,year,exhibit_id,category_raw,hierarchy_path,label,amount,file_name,storage_url,pdf_page,section,row_kind,entity
d9b15862-959e-4d49-950d-6691b42e2568,B_2024,,2024,B,General Revenues,General Revenues > Taxes > Property Taxes Levied for General Purposes,Metropolitan School Department,3292301,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,school_department
d9e8d605-1f22-4ae9-86b7-f7999217d0b5,B_2024,,2024,B,General Revenues,General Revenues > Taxes > Local Option Sales Tax,Metropolitan School Department,946286,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,school_department
dc4ed881-8542-4d3e-964e-2d09f3bdae4e,B_2024,,2024,B,Program Revenues,Program Revenues > Operating Grants and Contributions,Total Primary Government,3203234,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,total,total_primary_government
e548d8f4-dec3-4e87-93be-84058fed566f,B_2024,,2024,B,General Revenues,General Revenues > Miscellaneous,Governmental Activities,155322,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,governmental_activities
e77fe703-9208-4cfa-9f81-4945f3a7aad6,B_2024,,2024,B,Program Revenues,Program Revenues > Charges for Services,"Social, Cultural, and Recreational Services",24093,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,line_item,governmental_activities
ed7d277c-503a-4c30-9dd0-798ddf985b01,B_2024,,2024,B,General Revenues,General Revenues > Taxes > Other Local Taxes,Total Primary Government,266,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,total_primary_government
f4f6ac01-89cb-42b0-81c8-e147feae8dca,B_2024,,2024,B,General Revenues,General Revenues > Unrestricted Investment Income,Governmental Activities,156380,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,governmental_activities
f55f3110-e2a2-4602-ac0d-48d04c801d00,B_2024,,2024,B,General Revenues,"General Revenues > Taxes > Litigation Tax - Jail, Workhouse, & Courthouse",Governmental Activities,18358,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,governmental_activities
f6a2117d-661d-46f5-801c-98d7f5e7b466,B_2024,,2024,B,Program Revenues,Program Revenues > Operating Grants and Contributions,Metropolitan School Department,1372393,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,line_item,school_department
fa48c885-5828-4c8b-af88-daf576fefe82,B_2024,,2024,B,General Revenues,General Revenues > Taxes > Other Local Taxes,Metropolitan School Department,254,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,school_department
fdd980f7-4e75-4747-a53f-d05f844e55ef,B_2024,,2024,B,Program Revenues,Program Revenues > Operating Grants and Contributions,Highways,1869112,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,line_item,governmental_activities
